BrojPu,Naselje
20290,Glavat
20290,Lastovo
20290,Pasadur
20290,Skrivena Luka
20290,Sušac
20290,Uble
20290,Zaklopatica
20340,Baćina
20340,Banja
20340,Desne
20340,Komin
20340,Peračko Blato
20340,Plina Jezero
20340,Ploče
20340,Rogotin
20340,Staševica
20340,Šarić Struga
20350,Badžula
20350,Bijeli Vir
20350,Borovci
20350,Brečići
20350,Dobranje
20350,Dubrave
20350,Dubravica
20350,Glušci
20350,Kobiljača
20350,Krvavac
20350,Krvavac II
20350,Kula Norinska
20350,Mali Prolog
20350,Matijevići
20350,Metković
20350,Mislina
20350,Mlinište
20350,Momići
20350,Nova Sela
20350,Otrić-Seoci
20350,Podrujnica
20350,Pozla Gora
20350,Prud
20350,Vid
20350,Vidonje
20355,Blace
20355,Buk-Vlaka
20355,Duba
20355,Duboka
20355,Klek
20355,Komarna
20355,Kremena
20355,Lovorje
20355,Lučina
20355,Mihalj
20355,Opuzen
20355,Otok
20355,Pižinovac
20355,Podgradina
20355,Pržinovac
20355,Raba
20355,Slivno Ravno
20355,Trn
20355,Tuštevac
20355,Vlaka
20355,Zavala
49217,Maturovec
49217,Oratje
49217,Selno
49217,Slivonja Jarek
49217,Viča Sela
49217,Vrtnjakovec
49218,Benkovo
49218,Bregi Kostelski
49218,Bušin
49218,Cigrovec
49218,Donja Plemenšćina
49218,Gabrovec
49218,Gorjakovo
49218,Gornja Plemenšćina
49218,Klenice
49218,Kostel
49218,Kostelsko
49218,Mala Gora
49218,Marinec
49218,Martiša Ves
49218,Pavlovec Pregradski
49218,Pregrada
49218,Sopot
49218,Stipernica
49218,Svetojurski Vrh
49218,Valentinovo
49218,Velika Gora
49218,Vinagora
49218,Višnjevec
49218,Vojsak
49218,Vrhi Pregradski
49218,Vrhi Vinagorski
49221,Bedekovčina
49221,Belovar Zlatarski
49221,Brestovec Orehovički
49221,Grabe
49221,Kebel
49221,Križanče
49221,Lug Orehovički
49221,Lug Poznanovečki
49221,Martinec Orehovički
49221,Orehovica
49221,Poznanovec
49221,Pustodol Orehovički
49221,"Veliki Komor 60a,61,64,65,150,154,155,156,157,158"
49221,Vojnić-Breg
49221,Vučak
49221,Zadravec
49221,Židovinjak
49223,Brezova
49223,Ciglenica Zagorska
49223,Donja Pačetina
49223,Dukovec
49223,Galovec Začretski
49223,Klupci Začretski
49223,Komor Začretski
49223,Kotarice
49223,Kozjak Začretski
49223,Mirkovec
49223,Pustodol Začretski
49223,Sekirišće
49223,Sveti Križ Začretje
49223,Štrucljevo
49223,Švaljkovec
49223,Temovec
49223,Vrankovec
49223,Završje Začretsko
49223,Zleć
49225,Brdo Jesenjsko
